ChEMBL ID,Smiles
CHEMBL5494301,CCCC/C=C/c1cncc(NCc2ccc(OC)cc2)n1
CHEMBL4166580,OB1OCc2ccc(NC(=S)NCCc3ccccc3)cc21
CHEMBL6052729,CCOC(=O)c1c(C#N)c(-c2ccc(Oc3c(F)cccc3F)cc2)cn1[C@@H]1CCN(C(=O)OC(C)(C)C)C1
CHEMBL1300973,Cc1ccc(N2C(=O)c3ccc(C(=O)NCCN4CCOCC4)cc3C2=O)cc1
CHEMBL4588959,OCC1(NCc2ccc(F)c(Cl)c2)CCOCC1
CHEMBL4863893,CN(C)c1ccc2c(=O)c(C(=O)Nc3cc(F)cc(F)c3)cn(-c3ccc(Cl)c(OCCCCCCC[N+]4(C)CCCC4)c3)c2n1
CHEMBL5847388,Cc1nnc2c(NCCCCNC(=O)[C@@H](O)C(C)C)nc3cc4c(cc3n12)OCCO4
CHEMBL5222904,NC(=O)C1CCN(Cc2nc(-c3ccc(C(F)(F)F)cc3)no2)CC1
CHEMBL490558,COc1ccc(CCCC(=O)NC(N/C(=N/C#N)Nc2ccccc2C)C(C)(C)C)cc1
CHEMBL1587694,CCN(NC(=O)C(O)(c1ccccc1)c1ccccc1)C(=O)c1ccccc1
CHEMBL4276808,O=C1c2ccc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2OCC1CO
CHEMBL1969673,Cc1n[nH]c(=O)n1C1CC1
CHEMBL1682361,Cc1nnc(Nc2nc(N3CCN(C(=O)Cc4ccccc4)CC3)nn3cccc23)s1
CHEMBL592057,Cc1cc(=O)[nH]c2ccc(OCc3cccc(C(=O)N4CCCC4)c3)cc12
CHEMBL1726203,CCOC(=O)C1=C(C)N(C)C(C)=C(C(=O)OCC)C1c1ccccn1
CHEMBL1782346,O=C(c1cc(-c2cccs2)n[nH]1)N1N=C(c2cccnc2)CC1c1ccccc1O
CHEMBL432577,CC1=CC(=O)[C@H]2CC(=O)[C@H]3[C@@](C)(CC4=[N+]5C[C@H]6C[C@H](C)C[C@]5(CC[C@@]4(C)[C@@]3(C)CC(=O)O)O6)[C@@H]2C1.[Cl-]
CHEMBL5428961,CCCN(CCC)C(=O)Cc1c(-c2ccc(OCC[18F])cc2)nc2c(Cl)cc(Cl)cn12
CHEMBL1546291,CCN(CCn1cccn1)C(=O)c1cc(COc2ccccc2SC)on1
CHEMBL5559264,N#CC1=C(N)OC2=C(CN(C(=O)c3ccco3)C/C2=C\c2ccc(Br)o2)C1c1ccc(Br)o1
CHEMBL5803069,O=C(O)[C@H]1CC[C@](F)(C(=O)N2CCCC3(S(=O)(=O)c4cccc(F)c4)c4ccc(C(F)(C(F)(F)F)C(F)(F)F)cc4CCC23)CC1
CHEMBL3085555,C[C@]12CC[C@H](O[C@@H]3O[C@H](CN)[C@@H](O)[C@H]3O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@@]12O
CHEMBL355965,CC(C)CNc1ccc(C(=O)c2ccccc2)c2c1OCC1(CCCC1)N2
CHEMBL5313528,O=C(NCC1CC1)c1cc2c(OCc3ccc(Cl)cc3)cccc2[nH]1
CHEMBL5402174,CCN(CC)CCCNC(=O)c1cc2cc(Nc3nccc(-c4ccc(Cl)s4)n3)ccc2[nH]1
CHEMBL1339298,CC(C)NCc1c(O)c(Br)cc2oc3c(c12)CCCC3
CHEMBL6040020,C#Cc1ccc(Oc2[nH]nnc2C(=O)O)cc1
CHEMBL4297450,COc1cc(CO)ccc1O
CHEMBL4855186,COc1ccc2ccc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4ccc(Cl)c(Cl)c4)CO3)c2n1
CHEMBL1945207,COc1c(CN(C(=O)[C@H]2CNCC(=O)N2c2ccc(COC(=O)c3ccccc3)cc2)C2CC2)ccnc1C
CHEMBL1098739,CCn1nc(-c2ccccc2)c(C#N)c1CCc1ccccc1C(=O)O
CHEMBL5877558,O=C1NCC[C@H]2[C@@H]1[C@H](c1cccc(Cl)c1)[C@]1(C(=O)Nc3cc(Cl)ccc31)N2CC1CC1
CHEMBL2041607,CCOc1cc(COC(=O)c2ccc(-c3ccccc3)o2)cc(OCC)c1OCC
CHEMBL1988548,Cc1nnc2c3c(-c4ccccc4)c(-c4ccccc4)oc3nc(N(C)C)n12
CHEMBL3318545,O=C(c1cccc(-c2ccccc2)c1)N1CCN(c2ncccn2)CC1
CHEMBL3754591,Cc1cc2c(cc1F)c(C(N)=O)c(-c1ccc(NS(=O)(=O)C(C)(C)C)cc1)n2-c1ccc(Cl)cc1
CHEMBL541048,Cl.N=C(N)NC(=O)c1cc(O)c2cc(F)ccc2n1
CHEMBL3765631,CS(=O)(=O)N[C@@H](Cc1ccccc1)C(=O)OC[C@H](Cc1ccccc1)NC(=O)c1ccccc1
CHEMBL1992472,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)CC3OC1CC(O)C(O)C(C)O1
CHEMBL1343983,COc1ccc(C(=O)O)cc1S(=O)(=O)NCCCN1CCCC1=O
CHEMBL1536044,Cc1nn(-c2ccccc2)c2sc(C(=O)NC3CCCCC3)cc12
CHEMBL1504275,CN(C)CCN1C(=O)C(O)=C(C(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)C1c1ccccc1
CHEMBL3287772,C#CCn1nc(-n2cc(Cn3c(N)nc(C(F)(F)F)cc3=O)nn2)c2ccc(C(F)(F)F)nc21
CHEMBL3909466,O=C1CCCN1CCN(c1sc2ccccc2c1Cl)S(=O)(=O)c1ccccc1
CHEMBL3884683,COc1cc(/C=C/C(=O)c2cc3cccc(OC)c3oc2=O)cc(OC)c1OC
CHEMBL333202,Oc1ccccc1/C=N\c1ccccc1SSc1ccccc1/N=C\c1ccccc1O
CHEMBL2449529,Cc1c(C(=O)c2cccs2)c(=O)n(-c2ccccc2)n1C[C@H](O)CNC(C)C
CHEMBL5873904,CC(C)n1c(=O)c2cnc(Nc3ccc4c(c3)CNCC4)nc2n1-c1ccn(C2CC2)n1
CHEMBL3274968,CCC(Cc1cccs1)/N=C1\CCC(C(C)(C)C)CCN1.Cl
CHEMBL3827949,Cc1ccc(S(=O)(=O)NCCCCNc2c(C#N)cnc3c2cnn3-c2ccccc2)cc1
CHEMBL4982689,Cn1ncnc1C(=O)NC[C@H]1CC1(C)C
CHEMBL3644740,Cc1nc2cnc3ccc(C#CCNC(=O)c4cncn(Cc5ccc(F)c(F)c5)c4=O)cc3c2n1CCN(C)C
CHEMBL5414269,N#Cc1c(-c2ccccc2)cccc1N1C(=O)c2ccc(C(=O)N3CCOCC3)cc2C1=O
CHEMBL3356010,N[C@H]1CC[C@H](Nc2nccc(-c3cccnc3Oc3ccc(NS(=O)(=O)c4ccccc4Cl)c4ccccc34)n2)CC1
CHEMBL1859408,COc1ccc(-c2nc(Cn3cc(CCN)c4ccccc43)co2)cc1
CHEMBL467934,CCCC/N=C1\SC(=O)C(=O)N1CCCNc1ccnc2cc(Cl)ccc12
CHEMBL3472750,CCc1nc(NC2CCCN(C(=O)c3cccs3)C2)c2cnn(C)c2n1
CHEMBL2180880,COc1ccccc1C1=C(c2c[nH]c3ncccc23)C(=O)NC1=O
CHEMBL1973376,CC(C)(C)N1C(=O)c2ccccc2C1(O)C(F)(F)F
CHEMBL330137,C=CCC(=O)NCCc1c(-c2ccccc2)oc2ccc(OC)cc12
CHEMBL3326267,CC(C)Cn1c(=O)n(C)c(=O)c2nc(-c3[nH]nnc3CCCO)c(Cc3cccc4ccccc34)nc21
CHEMBL5274809,CCNC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)C[C@@H](O)OC[C@](C)(C=O)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
CHEMBL1863487,Clc1ccc(C(c2cccnc2)N2CCN(c3ccccc3)CC2)cc1
CHEMBL239711,CC(C)(C)C1CCC2(CC1)CC1(CCCCC1)OO2
CHEMBL1779985,CCC[C@@H]1C[C@@H](C(=O)NCc2cccc(C)n2)CN(Cc2nc(-c3ccccc3)oc2C)C1
CHEMBL478557,OC[C@H]1O[C@H](CNCc2ccccc2F)[C@@H](O)[C@@H]1O
CHEMBL173311,C=C1/C(=C/C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC#C[C@]4(C)CO4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
CHEMBL5194557,CCCCCCCCN(CCCCCCCC)C(=O)N(CCCCCCCC)CCCCCCCC
CHEMBL488607,C=C1C(=O)O[C@]2(C)CC[C@@H]1C[C@@H]1O[C@@]1(C)CC[C@H](OC(C)=O)[C@@]1(C)CC[C@@H]2O1
CHEMBL4445226,COc1cc(Cl)nc(NC(=O)[N-]S(=O)(=O)Oc2ccccc2C(=O)OCC(F)(F)F)n1.[Na+]
CHEMBL70428,CN(C)CCC1CN=C(S)c2cccnc2O1
